venezuela,external_immigration,gni,asylum_seekers,refugees,visa_free,native_language
colombia,1780486,"6,500",28785,1297,yes,yes
peru,941889,"6,740",531822,4098,no,yes
chile,523553,"15,360",4714,22,no,yes
us,505647,"76,770",246745,18735,no,no
ecuador,388861,"6,300",4255,798,yes,yes
spain,325667,"32,090",19205,88492,yes,yes
brazil,248105,"8,140",85738,48931,yes,no
argentina,176369,"11,590",5580,315,yes,yes
panama,119533,"16,960",2453,61,no,yes
mexico,70377,"10,820",9212,16585,no,yes
italy,59432,"38,200",0,0,yes,no
dominican,34063,"9,050",0,0,yes,yes
costa_rica,28214,"12,920",7288,1492,no,yes
portugal,27732,"25,950",0,0,yes,no
